run_id,lang_pair,l2r_hits@1,l2r_hits@10,l2r_mrr,r2l_hits@1,r2l_hits@10,r2l_mrr
20260228-044730-TMMEA-DA-MEAformer-DBP15K-zh_en-s42,zh_en,0.5487,0.8403,0.647,0.5522,0.8377,0.647
20260228-050047-TMMEA-DA-MEAformer-DBP15K-zh_en-s3407,zh_en,0.5474,0.841,0.647,0.5525,0.8401,0.649
20260228-125417-TMMEA-DA-MEAformer-DBP15K-zh_en-s2026,zh_en,0.5489,0.8421,0.646,0.5497,0.8387,0.646
20260228-130507-TMMEA-DA-MEAformer-DBP15K-zh_en-s7,zh_en,0.5594,0.8389,0.653,0.5561,0.8416,0.651
20260228-131550-TMMEA-DA-MEAformer-DBP15K-zh_en-s123,zh_en,0.5571,0.8435,0.653,0.5548,0.843,0.652
20260228-155610-TMMEA-DA-MEAformer-DBP15K-ja_en-s42,ja_en,0.5074,0.812,0.611,0.5019,0.8145,0.607
20260228-161001-TMMEA-DA-MEAformer-DBP15K-ja_en-s3407,ja_en,0.5112,0.8106,0.613,0.505,0.809,0.609
20260228-162436-TMMEA-DA-MEAformer-DBP15K-ja_en-s2026,ja_en,0.4996,0.815,0.606,0.4987,0.8147,0.605
20260228-163952-TMMEA-DA-MEAformer-DBP15K-ja_en-s7,ja_en,0.5168,0.8231,0.619,0.511,0.8198,0.615
20260228-165526-TMMEA-DA-MEAformer-DBP15K-ja_en-s123,ja_en,0.501,0.814,0.608,0.5029,0.8187,0.609
20260228-171330-TMMEA-DA-MEAformer-DBP15K-fr_en-s42,fr_en,0.5366,0.839,0.638,0.537,0.8427,0.638
20260228-173350-TMMEA-DA-MEAformer-DBP15K-fr_en-s3407,fr_en,0.539,0.8346,0.638,0.5404,0.835,0.638
20260228-174838-TMMEA-DA-MEAformer-DBP15K-fr_en-s2026,fr_en,0.5367,0.845,0.639,0.538,0.8429,0.638
20260228-180352-TMMEA-DA-MEAformer-DBP15K-fr_en-s7,fr_en,0.5363,0.8431,0.638,0.5335,0.8434,0.637
20260228-181806-TMMEA-DA-MEAformer-DBP15K-fr_en-s123,fr_en,0.5348,0.8399,0.635,0.5341,0.8366,0.634
