epoch,hits@1,hits@10,mrr,mr
1,0.2015,0.4219,0.2827,79.548
2,0.2101,0.4246,0.2905,78.692
3,0.2148,0.4275,0.2937,78.937
4,0.2235,0.4307,0.3006,78.563
5,0.2302,0.434,0.3025,76.143
6,0.2401,0.4353,0.3094,75.793
7,0.2461,0.4397,0.3173,74.44
8,0.2553,0.4422,0.323,75.276
9,0.2605,0.4433,0.3278,74.368
10,0.2645,0.446,0.3298,72.309
11,0.273,0.454,0.3314,73.068
12,0.2767,0.4562,0.3343,74.803
13,0.2779,0.4636,0.3398,70.116
14,0.279,0.4651,0.3421,73.41
15,0.2813,0.4718,0.3446,72.826
16,0.2889,0.4736,0.3487,68.723
17,0.2905,0.4754,0.3537,73.021
18,0.2941,0.4811,0.3605,70.431
19,0.3019,0.4843,0.3621,72.572
20,0.3103,0.4857,0.3674,70.251
